id,carat,cut,color,clarity,depth,table,x,y,z,price
99377,1.07,Premium,I,VS1,60.1,58.0,6.7,6.67,4.01,5205
38991,0.75,Very Good,E,SI2,62.1,60.0,5.77,5.81,3.6,2658
27322,1.0,Good,F,SI1,58.0,63.0,6.56,6.55,3.8,4497
85141,0.3,Good,F,VS2,63.7,59.0,4.28,4.22,2.7,776
65413,0.7,Very Good,H,VS1,62.6,57.0,5.63,5.71,3.55,2559
14297,1.1,Very Good,H,SI1,62.3,58.0,6.56,6.63,4.11,4980
15664,1.1,Ideal,H,SI1,61.6,55.0,6.64,6.67,4.1,7079
35904,0.34,Ideal,G,IF,60.7,57.0,4.51,4.53,2.74,1052
56294,0.3,Ideal,F,VS2,62.1,55.0,4.32,4.34,2.69,640
13809,0.9,Premium,F,SI1,61.6,59.0,6.18,6.22,3.81,3737
95186,0.54,Very Good,F,VS2,60.2,59.0,5.29,5.32,3.19,1402
96804,0.7,Ideal,F,SI1,61.6,57.0,5.72,5.78,3.55,2262
11253,0.32,Ideal,D,VS2,61.6,55.0,4.38,4.42,2.71,727
99893,0.9,Good,I,SI1,63.9,54.0,6.12,6.08,3.9,3251
74536,1.19,Premium,J,VS1,60.5,58.0,6.91,6.84,4.15,4361
50090,0.9,Good,G,SI2,63.9,57.0,6.15,6.08,3.9,3322
20638,0.25,Ideal,E,VVS2,60.8,57.0,4.06,4.08,2.48,526
18827,0.39,Very Good,J,VVS2,63.5,55.0,4.66,4.65,2.96,874
54903,0.35,Ideal,D,VS2,60.4,57.0,4.54,4.57,2.75,1063
58756,1.2,Ideal,F,SI1,62.9,56.0,6.78,6.72,4.26,7639
2933,1.01,Premium,G,VS2,60.0,60.0,6.53,6.47,3.91,5937
64970,0.55,Ideal,E,SI1,60.9,56.0,5.35,5.27,3.24,1698
44204,0.3,Ideal,H,VVS2,61.6,57.0,4.29,4.32,2.65,776
8671,0.72,Ideal,H,VS1,62.5,57.0,5.72,5.68,3.56,2497
89023,0.55,Ideal,H,VS2,61.1,55.0,5.27,5.35,3.25,1421
3524,1.24,Ideal,F,VS1,62.0,57.0,6.95,6.89,4.28,10692
39914,0.7,Very Good,H,SI1,61.8,56.0,5.69,5.73,3.53,2398
79279,1.0,Premium,H,VS2,62.4,58.0,6.4,6.35,3.98,5211
41557,0.35,Ideal,D,VS2,61.8,55.0,4.56,4.53,2.81,790
65198,0.24,Ideal,D,VVS2,62.0,56.0,4.04,4.01,2.5,551
45297,0.53,Ideal,D,VS2,61.9,55.0,5.2,5.23,3.23,1721
